side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
short,2023-09-04 06:00:00+00:00,1945.305,1946.2573751664831,1942.4478745005508,2023-09-04 09:15:00+00:00,1942.4478745005508,target,3.0,1.0087279840634662,1945.348,1693437300000000000,-1,0.26250159474778956,2.7374984052522104
short,2023-09-04 11:45:00+00:00,1941.555,1942.1959618487372,1939.6321144537887,2023-09-04 13:00:00+00:00,1939.6321144537887,target,3.0,0.9704536905704992,1941.605,1691416800000000000,-1,0.39003881509106597,2.609961184908934
short,2023-09-04 13:45:00+00:00,1938.165,1940.24577807123,1931.9226657863098,2023-09-05 09:15:00+00:00,1931.9226657863098,target,3.0,1.2176770012714726,1938.265,1689059700000000000,-1,0.12014736384270601,2.879852636157294
short,2023-09-06 01:45:00+00:00,1924.765,1925.3982071983394,1922.8653784049823,2023-09-06 02:15:00+00:00,1925.3982071983394,stop,-1.0,0.8671091244790091,1925.065,1688572800000000000,-1,0.46328509371551396,-1.463285093715514
short,2023-09-06 02:45:00+00:00,1926.275,1926.9350960847503,1924.2947117457495,2023-09-06 04:45:00+00:00,1926.9350960847503,stop,-1.0,0.7020397507830167,1926.375,1689018300000000000,-1,0.43190982968342345,-1.4319098296834234
short,2023-09-06 05:00:00+00:00,1927.228,1928.1283539305753,1924.5269382082745,2023-09-06 05:30:00+00:00,1928.1283539305753,stop,-1.0,0.7336243922996531,1927.305,1687444200000000000,-1,0.3184094719638041,-1.318409471963804
short,2023-09-06 07:30:00+00:00,1923.428,1925.0999317051899,1918.4122048844308,2023-09-06 09:00:00+00:00,1925.0999317051899,stop,-1.0,1.111184726033079,1923.478,1675115100000000000,-1,0.18275820438908008,-1.18275820438908
short,2023-09-06 11:00:00+00:00,1925.828,1927.2464023243726,1921.572793026882,2023-09-06 13:00:00+00:00,1921.572793026882,target,3.0,1.3610538585539003,1925.955,1693240200000000000,-1,0.17625464630465185,2.8237453536953483
short,2023-09-06 13:15:00+00:00,1921.685,1922.802007860597,1918.3339764182085,2023-09-06 13:30:00+00:00,1922.802007860597,stop,-1.0,1.5855005208959583,1922.047,1673826300000000000,-1,0.2947830876219356,-1.2947830876219357
short,2023-09-06 15:15:00+00:00,1915.775,1918.3556559959034,1908.0330320122903,2023-09-06 16:30:00+00:00,1918.3556559959034,stop,-1.0,2.204553296164746,1915.818,1674037800000000000,-1,0.1395876340667218,-1.139587634066722
short,2023-09-06 17:15:00+00:00,1918.825,1920.1965765588566,1914.7102703234304,2023-09-07 03:00:00+00:00,1920.1965765588566,stop,-1.0,0.9878637694513643,1918.925,1673916300000000000,-1,0.2182839787829044,-1.2182839787829045
short,2023-09-07 03:45:00+00:00,1920.065,1920.7094698288795,1918.1315905133617,2023-09-07 04:45:00+00:00,1918.1315905133617,target,3.0,1.0162480722119303,1920.275,1692810900000000000,-1,0.3879157546206376,2.6120842453793625
short,2023-09-07 05:00:00+00:00,1918.445,1919.4839548201162,1915.3281355396512,2023-09-07 06:30:00+00:00,1919.4839548201162,stop,-1.0,1.0612247260787935,1918.485,1675392300000000000,-1,0.2916981859423174,-1.2916981859423173
short,2023-09-07 08:15:00+00:00,1917.815,1918.672693869931,1915.2419183902073,2023-09-07 08:30:00+00:00,1918.672693869931,stop,-1.0,1.1142905497865876,1917.865,1673865000000000000,-1,0.35643781331205004,-1.35643781331205
short,2023-09-07 09:00:00+00:00,1918.745,1919.7602904636437,1915.6991286090683,2023-09-07 09:15:00+00:00,1919.7602904636437,stop,-1.0,1.0954228636592933,1918.775,1688346000000000000,-1,0.3001812329539165,-1.3001812329539164
